match_id,win_radiant,first_roshan_team,first_roshan_time,first_tower_team,first_tower_time,wisdom_7m_rad,wisdom_7m_dire,first_shard_team,first_shard_time,rad_power_runes_10m
8754115683,0,0,1604,1,731,0,0,0,1073,9
8754104311,1,-1,0,1,672,0,0,0,927,5
8754095340,1,1,1194,1,556,0,0,0,1025,9
8754079014,0,1,1485,1,766,0,0,0,1456,8
8754078295,1,0,1487,1,405,0,0,1,1321,6
8754072653,0,1,1419,1,737,0,0,-1,2400,5
8754062970,0,1,1566,1,543,0,0,1,1115,7
8754059346,1,-1,0,1,679,0,0,1,900,5
8754040588,1,-1,0,1,784,0,0,1,1532,11
8754028170,1,0,1466,1,1116,0,0,0,900,9
8754025558,1,0,1642,1,413,0,0,0,1037,8
8754023517,1,-1,0,1,581,0,0,1,1314,6
8754021619,1,1,1277,1,541,0,0,0,1139,7
8754013223,1,-1,0,1,583,0,0,1,1112,3
8753994979,1,-1,0,1,805,0,0,1,970,9
8753984687,0,-1,0,1,644,0,0,0,1137,3
8753983117,1,0,1638,1,685,0,0,1,1233,5
8753981091,0,0,1001,1,565,0,0,0,1542,8
8753975018,1,0,1359,1,511,0,0,1,910,9
8753970366,0,-1,0,1,566,0,0,0,910,7
8753955936,1,-1,0,1,626,0,0,1,958,10
8753944256,0,1,1442,1,611,0,0,0,955,7
8753933681,1,-1,0,1,723,0,0,1,927,6
8753933563,1,0,1761,1,632,0,0,1,1056,10
8753926295,0,1,1051,1,817,0,0,1,936,5
8753899060,0,1,1711,1,877,0,0,1,1440,9
8753863501,1,1,1606,1,899,0,0,0,1141,7
8753862041,0,1,1329,1,647,0,0,1,900,7
8753860786,1,-1,0,1,492,0,0,1,900,9
8753843992,0,-1,0,1,973,0,0,1,901,8
8753832993,1,0,1260,1,804,0,0,1,1143,10
8753826236,1,-1,0,1,877,0,0,1,910,7
8753807890,0,-1,0,1,658,0,0,0,1052,4
8753787541,0,-1,0,1,653,0,0,0,1288,8
8753768394,0,1,1256,1,818,0,0,1,906,7
8753745518,1,-1,0,1,665,0,0,-1,2400,5
8753715155,1,0,1895,1,568,0,0,1,950,6
8753682469,1,-1,0,1,678,0,0,0,902,8
8753642331,0,1,1734,1,610,0,0,1,945,7
8753565836,0,1,1834,1,593,0,0,0,1137,9
8753558232,1,-1,0,1,624,0,0,0,1302,12
8753498070,1,0,1579,1,570,0,0,0,901,8
8753468246,0,0,1369,1,499,0,0,1,1196,8
8753381564,0,1,1432,1,731,0,0,1,1250,5
8753357219,0,1,1554,1,972,0,0,1,972,3
8753304477,1,0,1297,1,738,0,0,1,900,6
8753300405,1,0,1443,1,743,0,0,1,1014,11
8753228412,1,-1,0,1,671,0,0,0,1341,4
8753172232,0,0,858,1,615,0,0,1,1274,7
8753169124,0,0,1388,1,723,0,0,0,1113,10
8753113145,0,1,1606,1,664,0,0,1,1446,7
8753055527,1,0,1404,1,671,0,0,0,1134,10
8753050639,1,0,1991,1,720,0,0,1,1487,10
8753003412,1,-1,0,1,886,0,0,1,1461,5
8752965796,0,1,1569,1,760,0,0,0,1049,7
8752930654,0,-1,0,1,429,0,0,1,924,4
