match_id,patch,region,start_time,duration,radiant_win,league_id,first_blood_time,r_hero_1,r_p1_id,r_hero_2,r_p2_id,r_hero_3,r_p3_id,r_hero_4,r_p4_id,r_hero_5,r_p5_id,d_hero_1,d_p1_id,d_hero_2,d_p2_id,d_hero_3,d_p3_id,d_hero_4,d_p4_id,d_hero_5,d_p5_id,rad_avg_gpm,dire_avg_gpm,first_roshan_team,first_roshan_time,roshan_2_team,roshan_2_time,first_tower_team,first_tower_time,first_tormentor_team,first_tormentor_time,kills_10m,max_gold_swing,wisdom_7m_rad,wisdom_7m_dire,radiant_team_id,dire_team_id
8754532595,60,8.0,1775141018.0,1469,1,18867.0,63,58,1906005443.0,88,236214375.0,29,323131650.0,47,1056145299.0,54,1291449666.0,52,1613937051.0,71,1136465061.0,31,339941742.0,121,1914262504.0,15,130433320.0,535.0,321.6,-1,9999,-1.0,9999.0,1.0,583.0,-1.0,9999.0,0,24387,0.0,0.0,9956358,9828921
8754525806,60,3.0,1775140763.0,1587,0,18959.0,174,73,1170923497.0,75,992327405.0,99,202984325.0,105,162724090.0,107,1232094007.0,64,80599925.0,74,1045494300.0,28,1103355581.0,46,181339278.0,37,301477244.0,410.8,537.8,0,1429,-1.0,9999.0,1.0,548.0,-1.0,9999.0,0,14417,0.0,0.0,8629315,2443375
8754485527,60,8.0,1775139191.0,1528,0,18867.0,0,48,1136465061.0,19,1613937051.0,69,130433320.0,87,339941742.0,101,1914262504.0,73,1291449666.0,71,236214375.0,29,323131650.0,131,1906005443.0,120,1056145299.0,368.8,579.6,-1,9999,-1.0,9999.0,1.0,820.0,-1.0,9999.0,0,23704,0.0,0.0,9828921,9956358
8754467100,60,3.0,1775138488.0,1833,1,18959.0,161,25,1045494300.0,71,80599925.0,56,181339278.0,51,1103355581.0,79,301477244.0,11,1232094007.0,1,1170923497.0,31,162724090.0,96,202984325.0,26,992327405.0,499.4,448.8,0,1309,-1.0,9999.0,1.0,701.0,-1.0,9999.0,0,8308,0.0,0.0,2443375,8629315
8754463676,60,3.0,1775138741.0,2556,1,19539.0,58,63,1044002267.0,2,402583877.0,114,106573901.0,91,164199202.0,121,73401082.0,120,154715080.0,138,97658618.0,129,126212866.0,90,241884166.0,64,94155156.0,566.6,399.6,0,1144,0.0,1789.0,1.0,547.0,-1.0,9999.0,0,30589,0.0,0.0,9572001,9895392
8754452588,60,3.0,1775137885.0,2160,0,18866.0,87,54,968545762.0,108,187123736.0,86,206097366.0,126,170809075.0,87,191597529.0,99,1001714951.0,70,384854668.0,7,371495800.0,123,1675320614.0,58,343909498.0,421.2,526.4,0,1161,0.0,1793.0,1.0,851.0,-1.0,9999.0,0,18870,0.0,0.0,10047709,9886393
8754403857,60,3.0,1775135944.0,1997,0,18959.0,143,22,1622405666.0,40,1621570409.0,29,1621497616.0,95,397206052.0,155,1621422877.0,86,1750577069.0,48,1750248703.0,16,1750916329.0,71,1750435217.0,26,1749630639.0,456.6,533.4,0,1813,-1.0,9999.0,1.0,454.0,-1.0,9999.0,0,10762,0.0,0.0,9425656,9767998
8754355614,60,3.0,1775133861.0,1668,0,18959.0,225,54,1750248703.0,86,1750577069.0,31,1750435217.0,129,1750916329.0,75,1749630639.0,56,397206052.0,11,1622405666.0,28,1621497616.0,128,1621570409.0,100,1621422877.0,403.4,525.2,0,1263,-1.0,9999.0,1.0,611.0,-1.0,9999.0,0,10500,0.0,0.0,9767998,9425656
8754352117,60,3.0,1775133672.0,3182,1,19539.0,146,99,125445069.0,45,122817493.0,86,175311897.0,69,383788462.0,13,123023873.0,78,190826739.0,120,210053851.0,15,127617979.0,123,9403474.0,64,1202267677.0,571.6,509.4,0,1667,0.0,2321.0,1.0,669.0,-1.0,9999.0,0,16471,0.0,0.0,9255039,9338413
8754333423,60,8.0,1775132808.0,1673,1,18867.0,109,48,1868210186.0,126,1056145299.0,66,1906005443.0,88,236214375.0,129,878549965.0,83,1914262504.0,95,1251984026.0,7,1073866259.0,65,1811371866.0,86,399588134.0,531.2,361.0,0,1373,-1.0,9999.0,1.0,965.0,-1.0,9999.0,0,18796,0.0,0.0,9729767,8831040
